outcome_id,cesi_measure,model,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
HIGHCHOL,practice_cesi,State fixed effects,0.03923594750496332,0.01948135853281126,0.05152646110253759,2052,37,1,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,OLS,0.013298034137189697,0.024778058254590632,0.5915652699135088,1487,38,1,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,State fixed effects,-0.05602391182057103,0.025900440605409743,0.037069710553112936,1487,38,0.8526033427215975,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,OLS,-0.027868538154321696,0.020514616376795778,0.1744591497990021,2116,38,1,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,State fixed effects,-0.016783420804421127,0.01834684891808188,0.36622799407894346,2116,38,1,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,OLS,0.21153649660137333,0.02216236185157076,5.158322525232427e-21,1540,39,1.6506632080743766e-19,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,State fixed effects,0.07775623916836506,0.019368698383026926,2.704674298297731e-4,1540,39,0.011089164623020698,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,OLS,-0.0638660681801221,0.014569715742767842,1.2253538565456542e-5,2116,38,3.6760615696369625e-4,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,practice_cesi,State fixed effects,-0.07450084592023752,0.023541871028133026,0.0031018819074896523,2116,38,0.1012525424553252,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,OLS,0.15845627403231063,0.01578388059236842,5.1782445159026297e-23,1540,39,1.8641680257249468e-21,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
STROKE,meaning_cesi,State fixed effects,0.045831609274914434,0.0417241708470407,0.2789225084259151,1540,39,1,CDC PLACES 2024,Stroke,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,OLS,-0.04072590841234879,0.017727794917927975,0.02169968125962656,2116,38,0.3688945814136515,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,practice_cesi,State fixed effects,-0.030728549172755817,0.021024488792633845,0.1523035052008404,2116,38,1,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,OLS,0.07444248049029446,0.02041110228819995,2.740297765071021e-4,1540,39,0.0038364168710994296,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
TEETHLOST,meaning_cesi,State fixed effects,0.02787721094684798,0.03406144379109914,0.418209603257202,1540,39,1,CDC PLACES 2024,All Teeth Lost,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,OLS,-0.09604279104478157,0.020313992657619368,2.4183149842755304e-6,2116,38,7.496776451254144e-5,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,practice_cesi,State fixed effects,0.014092144160720216,0.011188930855379559,0.21574727761385784,2116,38,1,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,OLS,-0.11114930880337304,0.02395220373088946,3.7725258937521167e-6,1540,39,6.413294019378599e-5,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BINGE,meaning_cesi,State fixed effects,-0.03150858325598024,0.02430411616762002,0.20264551523280094,1540,39,1,CDC PLACES 2024,Binge Drinking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,OLS,-0.08492117357549037,0.016905797783341895,5.509084809220632e-7,2116,38,1.928179683227221e-5,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,practice_cesi,State fixed effects,0.01068716350290125,0.021695424598164675,0.6252059426965513,2116,38,1,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,OLS,0.04485482095352804,0.019034862479876638,0.0185754722971512,1540,39,0.1671792506743608,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CSMOKING,meaning_cesi,State fixed effects,0.030480584446589534,0.03045177748091153,0.32318445375130134,1540,39,1,CDC PLACES 2024,Current Cigarette Smoking,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,practice_cesi,OLS,0.016351606999710003,0.014511074913447745,0.25993986266018343,2116,38,1,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,practice_cesi,State fixed effects,0.0418072562796126,0.013194022608177435,0.0030682588622825816,2116,38,0.1012525424553252,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,meaning_cesi,OLS,0.046109328348105875,0.016372528830268077,0.004920834551378842,1540,39,0.059050014616546104,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
LPA,meaning_cesi,State fixed effects,-0.03405616649418939,0.02426300233154009,0.16855009060935883,1540,39,1,CDC PLACES 2024,Physical Inactivity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
