outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
DEPRESSION,meaning_cesi,Within state,-0.03851575027954584,0.009651646376957044,6.907857808060315e-5,1540,39,0.0016578858739344756,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,Between states,-0.12481836627994021,0.11032510357691117,0.2647206409646775,1540,39,1,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,Within state,-0.031084164901773924,0.007033725986182451,1.04117726009159e-5,2116,38,3.4358849583022473e-4,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,Between states,0.1342021513269472,0.07055615652543613,0.06512650978245894,2116,38,1,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,Within state,-0.0288464619771413,0.00802835021048443,3.3731520754428865e-4,1540,39,0.007758249773518639,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,Between states,0.18846396209530672,0.07374422969554834,0.014768596832444194,1540,39,0.4725950986382142,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,Within state,0.031654580402187875,0.011545958545437834,0.00616775210170768,2052,37,0.1603615546443997,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,Between states,0.400112566518644,0.09570979694404709,1.6999786850260506e-4,2052,37,0.0074799062141146224,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,Within state,-0.043373739384458425,0.015285554855489745,0.004608811985221255,1487,38,0.0829586157339826,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,meaning_cesi,Between states,0.3890268010761357,0.10907088285911301,9.978122969972847e-4,1487,38,0.03691905498889953,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,Within state,-0.01275009585075525,0.013005293072251881,0.32701397128549725,2116,38,1,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,practice_cesi,Between states,0.018774818401769353,0.10938127545284135,0.8646773314552234,2116,38,1,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
OBESITY,meaning_cesi,Within state,0.06332209647575004,0.014972163863030784,2.484641494409522e-5,1540,39,6.70853203490571e-4,CDC PLACES 2024,Obesity,Age-adjusted percentage of adults,Worse health / higher risk prevalence
