county_fips,county_population22,county_age22,county_income22,county_bachelor22,county_hs22
8021,7553,39.1,44093,0.246484532,0.8977501
8023,3534,52.8,34578,0.236530378,0.88345434
8025,5782,41.3,40685,0.127415891,0.8103078
8027,4885,58.1,66250,0.364668603,0.96936889
8029,31173,47.8,56349,0.244988864,0.9000393
8031,710800,34.9,85853,0.542485912,0.90548504
8033,2329,59.2,64708,0.263240692,0.95280545
8035,360206,39.3,139010,0.600046069,0.97892749
8037,55650,38.3,98887,0.51805934,0.92396331
8039,26457,45.6,124360,0.356174461,0.96715712
8041,730323,34.7,82748,0.401807194,0.94801238
8043,49107,44.9,56165,0.202228881,0.89838616
8045,61683,37.2,82772,0.336941256,0.89299724
8047,5856,47.4,95902,0.438814942,0.94439674
8049,15724,44.6,79367,0.378237052,0.94663015
8051,17018,36.4,76538,0.593428064,0.98321492
8053,911,56.9,58712,0.445997459,0.98475222
8055,6896,55.4,49631,0.260751647,0.92909725
8057,1440,51.5,38686,0.275092937,0.85687732
8059,580519,40.2,103167,0.491293793,0.95228363
8061,1347,43.3,45250,0.179569892,0.91182796
8063,7039,39.2,58992,0.180491872,0.87744894
8065,7403,36.8,78942,0.392342684,0.94275967
8067,55983,41.8,81936,0.469632821,0.958355
8069,359363,36.3,87199,0.508869504,0.96326746
8071,14422,46.8,48965,0.16548731,0.88498915
8073,5583,40.4,59167,0.227456579,0.88746134
8075,21302,38.9,54864,0.197181226,0.91071666
8077,156131,40.6,68077,0.300324305,0.92276984
8079,794,54.7,58929,0.576642336,0.97810219
8081,13232,37.1,63983,0.20541861,0.91305796
8083,26070,43.7,61377,0.300640342,0.91307364
8085,42823,45.9,62817,0.277166726,0.89304261
8087,29045,36.9,70471,0.177321116,0.82659817
8089,18580,40.5,47500,0.183213353,0.88038921
8091,4936,56.8,78750,0.495568862,0.97461078
8093,17597,51.3,85019,0.354866008,0.97559944
8095,4493,40.6,58474,0.262643291,0.89109912
8097,17325,46.7,96123,0.631083784,0.98170235
8099,11968,37.8,49422,0.182420787,0.85483229
8101,168135,39.8,59436,0.24068165,0.90035704
8103,6511,39.2,69882,0.238084274,0.92240387
8105,11442,41.3,57591,0.312778052,0.90088977
8107,24944,41.9,95144,0.500426849,0.96964038
8109,6454,49.9,51946,0.24382779,0.88451336
8111,690,49.3,67344,0.416666667,0.95652174
8113,8082,41.9,72829,0.621617319,0.98185291
8115,2391,44.5,45855,0.264842841,0.91327125
8117,30955,39,100611,0.522577963,0.94232848
8119,24758,51.1,69655,0.379631546,0.97045125
8121,4817,40.2,59087,0.244807122,0.90534125
8123,331466,35,89182,0.306563248,0.88337106
8125,9938,39.6,60118,0.244374437,0.84833483
9110,977165,39.8,88190,0.411033905,0.91014386
9120,326381,40.5,83147,0.417238422,0.88335289
9130,175244,45.6,99742,0.452667494,0.95274504
9140,451887,41.1,82939,0.33269803,0.90351611
9150,95687,41.7,83119,0.250319211,0.91284098
9160,112696,45.1,87971,0.379310345,0.93186904
9170,571298,39.9,83617,0.403979667,0.9142598
9180,280293,41.6,80330,0.338125458,0.92390584
9190,620666,41.1,118930,0.542353062,0.91635375
10001,182400,38.5,69278,0.262818477,0.88882103
10003,570567,39,85309,0.382742026,0.92496643
10005,240668,51.3,75406,0.316998847,0.90105968
11001,670587,34.8,101722,0.626360927,0.92699692
12001,279729,31.7,57566,0.466842248,0.93636546
12003,27969,37.7,67872,0.14128645,0.85064004
12005,181055,41.2,65999,0.26632564,0.90364956
12007,27816,39.9,54759,0.131669065,0.82133108
12009,610723,47,71308,0.328938647,0.92683912
12011,1940907,41,70331,0.349420276,0.89998952
12013,13753,41.9,41526,0.110690822,0.79305196
12015,189900,59.9,62164,0.251318726,0.91940556
12017,155173,56.9,52569,0.196854147,0.90432373
12019,219650,39.9,82242,0.275823452,0.92524374
12021,380221,52.2,82011,0.38734953,0.89541803
12023,69832,40.7,53501,0.160410049,0.85778227
12027,34258,41.7,45000,0.11589801,0.73143634
12029,16737,45.8,45057,0.079798706,0.80765237
12031,995708,36.6,65579,0.322417889,0.90722653
12033,321296,38.1,61642,0.280703121,0.90765579
12035,117515,52.4,69251,0.283707308,0.92252219
12037,12276,48.7,58107,0.209501237,0.8036892
12039,43746,41.9,45721,0.196682697,0.80305558
12041,18070,42.7,56823,0.146335789,0.85986817
12043,12179,47.4,37221,0.129794127,0.73111088
12045,15002,46.5,56250,0.214014992,0.85723911
12047,13492,41.8,47668,0.092395666,0.77076645
12049,25528,35.2,44665,0.103612569,0.77938604
12051,39902,35.1,49259,0.10483556,0.69510195
12053,196621,48.5,59202,0.200029878,0.89358856
12055,102339,54.1,53679,0.182833085,0.86212608
12057,1468560,37.6,70612,0.362451049,0.89306441
12059,19529,41,46063,0.110095643,0.82706341
12061,160986,54.8,67543,0.327256269,0.91436262
12063,47704,42.9,46144,0.138778906,0.84231365
12065,14458,47.8,51573,0.195363015,0.85146869
12067,8107,40.6,57852,0.080832196,0.7851296
12069,386829,46.9,66239,0.256775537,0.90444411
12071,772902,49.1,69368,0.301228282,0.90107571
12073,294128,31.4,61317,0.475171795,0.93285274
12075,43268,47.3,49933,0.161013486,0.87642639
12077,7704,39.6,51723,0.168419144,0.81036983
12079,17986,44.5,43386,0.129549931,0.80173609
12081,405069,49.4,71385,0.328319453,0.90702302
12083,378225,48.5,55265,0.219888546,0.89242704
12085,159399,53.2,77894,0.350972097,0.92407312
12086,2688237,40.6,64215,0.32536896,0.82668356
12087,82044,48.3,80111,0.363327885,0.92228189
12089,91538,46.3,84085,0.320037147,0.91833606
12091,212021,37.1,73988,0.332742029,0.93022157
12093,39870,40.8,50476,0.168347912,0.79899125
12095,1427403,35.9,72629,0.373509491,0.89441621
12097,393745,36.6,64312,0.265158603,0.87697847
12099,1494805,45.2,76066,0.387583305,0.88979037
12101,569211,43.9,63187,0.271135299,0.90707192
12103,959918,48.8,66406,0.350734456,0.92505466
12105,736229,39.8,60901,0.214413803,0.86911704
12107,73604,45.1,44852,0.133242176,0.82448344
12109,278722,44,100020,0.473576469,0.95007519
12111,334682,45.3,66154,0.250216521,0.88580766
12113,188994,40,84715,0.299009009,0.92625375
12115,439392,57.1,77213,0.382876242,0.94108375
12117,471321,39.6,79490,0.417268384,0.93857995
12119,131832,68.3,70105,0.336902315,0.92524514
12121,43881,42.8,49729,0.158794422,0.84310134
12123,21421,44.3,46239,0.139216552,0.83264997
12125,15524,39.7,64043,0.100297378,0.77930972
12127,558520,46.5,63075,0.261538462,0.91578465
12129,33732,42.3,72035,0.197463768,0.88422266
12131,76618,44.4,74832,0.331472522,0.91897496
12133,25014,41.6,47536,0.12402633,0.83066374
13001,18441,39.6,43268,0.100219816,0.78433607
13003,8265,35.5,38007,0.113569861,0.70427944
13005,11138,38.1,43938,0.109093392,0.84666849
13007,2878,47,45417,0.189781022,0.85693431
13009,43778,36.1,54699,0.234514704,0.85471651
13011,18381,42.3,69096,0.171214346,0.7940017
