county_fips,pop_total,pop_density,area_land,median_income
13087,29063,48.66223,597.2394003,47383
13089,761209,2844.187,267.636786,76044
13091,19977,40.27922,495.9629095,46091
13093,11236,28.61723,392.63065,54109
13095,85038,258.7544,328.6437466,45640
13097,144735,723.2495,200.1176839,76930
13099,10753,20.97739,512.5995271,48355
13101,3707,8.817643,420.4071247,61184
13103,65314,136.4036,478.8290664,79474
13105,19570,55.73866,351.1028345,48190
13107,22907,33.65834,680.5743594,47905
13109,10759,58.82622,182.8946358,55222
13111,25436,65.70826,387.1050769,54857
13113,119259,612.9463,194.5668073,105910
13115,98541,193.2853,509.8214694,57868
13117,253225,1127.358,224.61806,131660
13119,23480,89.84386,261.3422703,52597
13121,1061944,2015.954,526.7699835,86267
13123,31519,73.95083,426.2156334,70334
13125,2903,20.19541,143.7455432,60469
13127,84566,201.5224,419.6357605,65970
13129,57785,162.1158,356.4428067,57555
13131,26075,57.37552,454.4621025,51929
13133,19020,49.08171,387.517051,77527
13135,957977,2223.937,430.7573317,82296
13137,46326,167.3224,276.8666913,61292
13139,204953,521.5165,392.994315,74153
13141,8588,18.23096,471.0668436,31767
13143,30178,106.9515,282.1652486,65940
13145,34914,75.27599,463.8132625,85936
13147,26110,112.3387,232.4221672,61765
13149,11489,38.81769,295.973325,62965
13151,240853,755.7325,318.7013623,79663
13153,164117,436.4278,376.0461964,76968
13155,9487,26.772,354.3627476,46383
13157,77033,226.8507,339.575788,82056
13159,14882,40.39563,368.4061918,57374
13161,14791,44.69675,330.9188707,41780
13163,15591,29.60944,526.5551006,46865
13165,8704,25.05625,347.3784126,31463
13167,9225,30.44365,303.018868,47796
13169,28382,72.0462,393.941643,66288
13171,18676,101.7762,183.5006247,64966
13173,9964,50.6976,196.5378928,39971
13175,49407,61.19758,807.3358178,46776
13177,32968,92.64721,355.8444904,83632
13179,65550,126.9211,516.4626245,55149
13181,7726,36.72381,210.3812064,50754
13183,16804,41.96814,400.3990011,56819
13185,118257,237.8274,497.2387146,52821
13187,33405,118.0624,282.9436306,67592
13189,21715,84.37189,257.3724481,54752
