county_fips,pop_total,White,pct_white,BlackAmerican ,pct_black,NativeAmerican,pct_native,AsianAmerican,pct_asian,NativeHawaiian_PI,pct_nativehawaiian,OtherRace,pct_otherrace,Multiracial,pct_multiracial,Latino,pct_latino
5039,6472,3356,0.518541409,2853,0.440822002,0,0,4,0.000618047,37,0.005716934,0,0,140,0.021631644,82,0.012669963
5041,11285,4922,0.436154187,5376,0.476384581,8,0.000708906,25,0.00221533,0,0,6,0.000531679,186,0.016482056,762,0.067523261
5043,17309,11259,0.650470853,4625,0.267202034,0,0,125,0.007221677,0,0,0,0,602,0.034779594,698,0.040325842
5045,124611,98354,0.789288265,14080,0.11299163,340,0.002728491,1302,0.010448516,13,0.000104325,328,0.002632191,4706,0.037765526,5488,0.044041056
5047,17160,15156,0.883216783,95,0.005536131,80,0.004662005,140,0.008158508,0,0,0,0,1069,0.062296037,620,0.036130536
5049,12183,11317,0.928917344,23,0.001887877,0,0,4,0.000328326,0,0,0,0,769,0.063120742,70,0.005745711
5051,100021,80802,0.807850351,7864,0.078623489,480,0.004798992,735,0.007348457,80,0.000799832,61,0.000609872,3795,0.037942032,6204,0.062026974
5053,18022,16436,0.911996449,464,0.02574631,18,0.000998779,64,0.003551215,22,0.00122073,70,0.003884142,370,0.020530463,578,0.032071912
5055,45954,41596,0.905166036,1142,0.024850938,74,0.001610306,197,0.004286896,67,0.00145798,40,0.000870436,1405,0.030574052,1433,0.031183357
5057,20037,10674,0.532714478,6189,0.308878575,101,0.005040675,38,0.001896491,0,0,19,0.000948246,294,0.014672855,2722,0.13584868
5059,33129,27088,0.817652208,3789,0.114371095,99,0.002988318,83,0.002505358,7,0.000211295,5,0.000150925,809,0.024419693,1249,0.037701108
5061,12779,7999,0.625948822,2770,0.216761875,15,0.001173801,104,0.008138352,27,0.002112841,0,0,156,0.012207528,1708,0.133656781
5063,37910,32196,0.849274598,713,0.018807702,29,0.00076497,274,0.007227644,127,0.00335004,164,0.004326035,1711,0.04513321,2696,0.071115801
5065,13748,12069,0.877873145,249,0.018111725,126,0.009164969,5,0.000363689,4,0.000290951,17,0.001236543,908,0.06604597,370,0.026913006
5067,16784,12735,0.758758341,2041,0.121603908,15,0.000893708,73,0.00434938,8,0.000476644,0,0,1378,0.082102002,534,0.031816015
5069,66934,25322,0.378312965,37451,0.55952132,85,0.001269908,523,0.007813667,269,0.004018884,148,0.002211133,1546,0.02309738,1590,0.023754743
5071,25925,20074,0.774310511,359,0.013847637,38,0.001465767,782,0.030163934,36,0.001388621,27,0.001041466,873,0.03367406,3736,0.144108004
5073,6277,3627,0.577823801,2088,0.332642982,17,0.0027083,61,0.009718018,0,0,3,0.000477935,260,0.041421061,221,0.035207902
5075,16258,15103,0.928958051,227,0.013962357,31,0.001906754,10,0.000615082,9,0.000553574,17,0.001045639,573,0.035244187,288,0.017714356
5077,8666,3522,0.406415878,4775,0.551003923,9,0.001038541,16,0.001846296,0,0,0,0,91,0.010500808,253,0.029194553
5079,13016,8179,0.628380455,3884,0.298401967,56,0.004302397,0,0,0,0,19,0.001459742,297,0.02281807,581,0.044637369
5081,12024,8620,0.716899534,2238,0.186127745,126,0.010479042,27,0.002245509,0,0,0,0,531,0.044161677,482,0.040086494
5083,21247,18828,0.886148633,336,0.015813997,89,0.004188827,381,0.017931943,0,0,9,0.000423589,932,0.043865016,672,0.031627995
5085,74292,62641,0.843172885,4086,0.054999192,76,0.00102299,748,0.010068379,87,0.001171055,97,0.001305659,2967,0.039937005,3590,0.048322834
5087,16737,12680,0.757602916,8,0.000477983,13,0.000776722,89,0.00531756,161,0.009619406,51,0.003047141,2679,0.160064528,1056,0.063093744
5089,16905,15630,0.924578527,88,0.00520556,62,0.003667554,114,0.006743567,23,0.001360544,10,0.000591541,554,0.032771369,424,0.025081337
5091,42682,28614,0.6703997,10750,0.251862612,371,0.008692189,148,0.003467504,0,0,286,0.006700717,908,0.021273605,1605,0.037603674
5093,40361,22811,0.565174302,14015,0.347241149,12,0.000297317,164,0.004063328,20,0.000495528,100,0.002477639,1329,0.032927826,1910,0.047322911
5095,6787,3656,0.538676882,2954,0.435243849,9,0.001326065,22,0.003241491,0,0,0,0,146,0.021511714,0,0
5097,8555,7684,0.898188194,61,0.007130333,60,0.007013442,72,0.008416131,0,0,6,0.000701344,257,0.030040912,415,0.048509643
5099,8292,5202,0.627351664,2798,0.337433671,10,0.001205982,13,0.001567776,8,0.000964785,2,0.000241196,137,0.016521949,122,0.014712976
5101,7243,6664,0.920060748,10,0.001380643,88,0.012149662,0,0,14,0.001932901,0,0,335,0.046251553,132,0.018224493
5103,22606,12303,0.544236044,9266,0.409891179,32,0.001415553,8,0.000353888,0,0,0,0,394,0.017429001,603,0.026674334
5105,10055,9101,0.90512183,234,0.023272004,12,0.001193436,7,0.000696171,0,0,0,0,369,0.03669816,332,0.033018399
5107,16373,5530,0.337751176,10129,0.618640445,1,6.11E-05,93,0.005680083,0,0,14,0.000855066,252,0.015391193,354,0.021620961
5109,10205,8694,0.851935326,425,0.041646252,3,0.000293974,28,0.002743753,0,0,5,0.000489956,356,0.03488486,694,0.068005879
5111,22997,19569,0.850937079,988,0.042962125,60,0.002609036,5,0.00021742,12,0.000521807,17,0.000739227,1524,0.066269513,822,0.035743793
5113,19384,16892,0.871440363,25,0.001289723,290,0.014960792,34,0.001754024,39,0.002011969,71,0.003662815,745,0.03843376,1288,0.066446554
5115,63475,52258,0.823284758,1499,0.023615597,191,0.003009059,598,0.009421032,35,0.000551398,142,0.002237101,2447,0.03855061,6305,0.099330445
5117,8217,6917,0.841791408,866,0.105391262,4,0.000486796,17,0.002068882,0,0,17,0.002068882,225,0.027382256,171,0.020810515
5119,398322,200813,0.504147398,148333,0.372394696,909,0.002282073,8874,0.022278458,117,0.000293732,1049,0.002633548,12898,0.032380838,25329,0.063589257
5121,18619,16796,0.902089264,258,0.013856813,52,0.002792846,71,0.003813309,269,0.014447607,6,0.000322251,711,0.038186798,456,0.024491111
5123,23138,8950,0.386809577,12326,0.532716743,91,0.003932924,25,0.001080474,62,0.002679575,38,0.00164232,371,0.016034229,1275,0.055104158
5125,123988,101114,0.815514405,10317,0.083209665,199,0.001604994,1413,0.011396264,82,0.000661354,457,0.003685841,3673,0.029623835,6733,0.054303642
5127,9871,8224,0.833147604,119,0.012055516,50,0.005065343,63,0.006382332,5,0.000506534,0,0,590,0.059771046,820,0.083071624
5129,7880,6950,0.881979695,33,0.004187817,112,0.014213198,21,0.002664975,0,0,0,0,525,0.066624365,239,0.030329949
5131,128184,86775,0.676956562,7614,0.059398989,1050,0.00819135,5784,0.045122636,142,0.001107783,114,0.000889347,7318,0.057089808,19387,0.151243525
5133,15913,8726,0.548356689,711,0.04468045,353,0.022183121,43,0.002702193,204,0.012819707,79,0.004964494,339,0.021303337,5458,0.342990008
5135,17422,15906,0.912983584,175,0.010044771,30,0.001721961,91,0.005223281,0,0,0,0,774,0.044426587,446,0.025599816
5137,12393,11204,0.904058743,17,0.001371742,78,0.006293876,47,0.003792463,0,0,0,0,798,0.064391189,249,0.020091987
5139,38815,23430,0.603632616,12569,0.323818112,52,0.001339688,299,0.007703208,0,0,2,5.15E-05,868,0.022362489,1595,0.041092361
5141,15900,14605,0.918553459,118,0.007421384,126,0.007924528,50,0.003144654,17,0.001069182,0,0,434,0.027295597,550,0.034591195
5143,247331,161938,0.654742026,8422,0.034051534,1241,0.005017568,6152,0.02487355,6578,0.026595938,1221,0.004936704,18967,0.076686707,42812,0.173095973
5145,77118,66310,0.859851137,3297,0.042752665,97,0.001257813,667,0.008649083,0,0,181,0.002347053,2960,0.038382738,3606,0.046759511
5147,6259,4340,0.693401502,1720,0.274804282,1,0.00015977,0,0,17,0.002716089,0,0,150,0.02396549,31,0.004952868
5149,20342,15028,0.738767083,393,0.019319634,52,0.002556287,222,0.010913381,0,0,0,0,357,0.017549897,4290,0.210893717
6001,1663823,487452,0.292971067,165390,0.099403602,4870,0.002926994,530999,0.319143923,12278,0.007379391,9609,0.005775254,83622,0.050258952,369603,0.222140817
6003,1515,880,0.580858086,0,0,363,0.23960396,3,0.001980198,0,0,6,0.003960396,50,0.0330033,213,0.140594059
6005,40577,30393,0.749020381,668,0.016462528,395,0.009734579,506,0.012470119,15,0.000369668,278,0.006851172,2182,0.053774306,6140,0.151317249
6007,213605,147001,0.68819082,3695,0.017298284,1514,0.007087849,10818,0.050644882,605,0.002832331,619,0.002897872,10992,0.05145947,38361,0.179588493
6009,45674,35747,0.78265534,450,0.009852432,372,0.008144677,896,0.019617288,37,0.000810089,11,0.000240837,1964,0.043000394,6197,0.135678942
6011,21811,7303,0.334831049,306,0.014029618,153,0.007014809,127,0.00582275,23,0.001054514,42,0.001925634,577,0.026454541,13280,0.608867085
