county_fips,median_household_income_2022,median_household_income_moe_2022,population_25plus,high_school_or_higher_pct,bachelors_or_higher_pct,high_school_or_higher_count_moe,bachelors_or_higher_count_moe
05143,61985,2353,151212,87.00037034097824,34.464857286458745,3216.2604061238576,2031.92052009915
05145,51144,3710,50533,86.34555636910534,20.483644351216036,1646.9034580083921,785.1598563350013
05147,49608,3585,4387,84.40847959881468,16.503305219968087,302.39543647350234,167.1316846082753
05149,55879,6270,13857,77.38327199249477,13.805296961824348,695.5429533824637,300.1499625187383
06001,122488,1231,1193888,89.21289099144978,50.93735760808384,7865.506658823702,5460.690707227429
06003,101125,17442,1068,93.25842696629213,39.60674157303371,166.1896507006378,104.36474500519799
06005,74853,6048,31901,90.49559574934955,20.563618695338704,1229.2062479502779,558.3708445110651
06007,66085,2261,138986,90.30981537708834,30.83332134171787,2601.324470341983,1628.511590379387
06009,77526,3875,35412,92.55337173839376,21.396701683045297,1505.526485984222,767.4275210076845
06011,69619,5745,14021,73.27580058483703,14.285714285714286,664.9729317799334,349.6212236120685
06013,120020,1496,808485,89.71718708448518,44.49742419463565,6683.923099497779,4432.936160153899
06015,61149,4376,19672,83.19947132980886,17.715534770231802,873.3149489159109,442.2804540108007
06017,99246,3330,140802,94.73018849164075,37.952585900768455,2802.277466633167,1785.247041728399
06019,67756,967,624392,78.25484631449474,23.38386782662174,5921.834175321022,3198.6304881933456
06021,64033,3963,18475,77.80784844384303,14.86874154262517,874.0240271296893,377.83197323678155
06023,57881,2131,93612,91.26500875956074,31.08362175789429,2204.382226384526,1232.9059169295929
06025,53847,2214,110201,71.27067812451793,15.916370994818559,2680.1486899050956,1447.0615052581559
06027,63417,5453,13867,93.0626667628182,28.9536309223336,740.1655220286879,429.43567620774127
06029,63883,1325,553334,76.55014873476055,18.320038168628713,6071.9787549035445,3063.393379897528
06031,68540,2253,95084,74.48571789154853,14.72487484750326,2212.200714221022,939.4008728971886
06033,56259,2439,48945,86.63397691286137,18.212279088773112,1858.201818963699,854.6636765418313
06035,59515,3551,23744,80.47506738544475,12.095687331536388,895.3407172691299,299.0167219404293
06037,83411,439,6909650,80.2500416084751,34.58292388181746,20407.55531659782,13889.23730807419
06039,73543,2844,99045,72.05310717350699,17.15079004492907,2278.973891908374,1074.7492730865185
06041,142019,4098,191565,93.41842194555373,61.1280766319526,3269.262455050068,2508.754671146623
06043,60021,5293,13371,91.85550818936504,28.928277615735546,895.1329510190093,503.452083122118
06045,61335,2198,65163,86.77163420959747,23.98753894080997,1868.9034217957867,850.2376138468587
